edge_id,source_flags,worldcover_canopy_fraction,street_tree_fraction,fused_canopy_fraction
141995,worldcover_only,0.038461538461538464,0.0,0.038461538461538464
141996,both,0.1951219512195122,0.0975609756097561,0.1951219512195122
141997,neither,0.0,0.0,0.0
141998,worldcover_only,0.038461538461538464,0.0,0.038461538461538464
141999,both,0.17142857142857143,0.02857142857142857,0.17142857142857143
142000,neither,0.0,0.0,0.0
142001,neither,0.0,0.0,0.0
142002,neither,0.0,0.0,0.0
142003,neither,0.0,0.0,0.0
142004,neither,0.0,0.0,0.0
142005,worldcover_only,0.038461538461538464,0.0,0.038461538461538464
142006,neither,0.0,0.0,0.0
142007,neither,0.0,0.0,0.0
142008,worldcover_only,0.019801980198019802,0.0,0.019801980198019802
142009,neither,0.0,0.0,0.0
142010,worldcover_only,0.2,0.0,0.2
142011,neither,0.0,0.0,0.0
142012,neither,0.0,0.0,0.0
142013,neither,0.0,0.0,0.0
142014,neither,0.0,0.0,0.0
142015,neither,0.0,0.0,0.0
142016,both,0.6481481481481481,0.05555555555555555,0.6481481481481481
142017,neither,0.0,0.0,0.0
142018,neither,0.0,0.0,0.0
142019,neither,0.0,0.0,0.0
142020,neither,0.0,0.0,0.0
142021,neither,0.0,0.0,0.0
142022,neither,0.0,0.0,0.0
142023,worldcover_only,0.043478260869565216,0.0,0.043478260869565216
142024,neither,0.0,0.0,0.0
142025,neither,0.0,0.0,0.0
142026,neither,0.0,0.0,0.0
142027,neither,0.0,0.0,0.0
142028,neither,0.0,0.0,0.0
142029,neither,0.0,0.0,0.0
142030,neither,0.0,0.0,0.0
142031,neither,0.0,0.0,0.0
142032,neither,0.0,0.0,0.0
142033,neither,0.0,0.0,0.0
142034,neither,0.0,0.0,0.0
142035,neither,0.0,0.0,0.0
142036,neither,0.0,0.0,0.0
142037,stl_only,0.0,0.050955414012738856,0.050955414012738856
142038,neither,0.0,0.0,0.0
142039,neither,0.0,0.0,0.0
142040,neither,0.0,0.0,0.0
142041,worldcover_only,0.0031746031746031746,0.0,0.0031746031746031746
142042,neither,0.0,0.0,0.0
142043,neither,0.0,0.0,0.0
142044,neither,0.0,0.0,0.0
142045,neither,0.0,0.0,0.0
142046,neither,0.0,0.0,0.0
142047,neither,0.0,0.0,0.0
142048,neither,0.0,0.0,0.0
142049,neither,0.0,0.0,0.0
142050,stl_only,0.0,0.045454545454545456,0.045454545454545456
142051,neither,0.0,0.0,0.0
142052,neither,0.0,0.0,0.0
142053,neither,0.0,0.0,0.0
142054,neither,0.0,0.0,0.0
142055,neither,0.0,0.0,0.0
142056,neither,0.0,0.0,0.0
142057,worldcover_only,0.047619047619047616,0.0,0.047619047619047616
142058,neither,0.0,0.0,0.0
142059,neither,0.0,0.0,0.0
142060,neither,0.0,0.0,0.0
142061,worldcover_only,0.015873015873015872,0.0,0.015873015873015872
142062,stl_only,0.0,0.029411764705882353,0.029411764705882353
142063,stl_only,0.0,0.3488372093023256,0.3488372093023256
142064,neither,0.0,0.0,0.0
142065,both,0.022727272727272728,0.11363636363636363,0.11363636363636363
142066,neither,0.0,0.0,0.0
142067,neither,0.0,0.0,0.0
142068,neither,0.0,0.0,0.0
142069,neither,0.0,0.0,0.0
142070,neither,0.0,0.0,0.0
142071,neither,0.0,0.0,0.0
142072,neither,0.0,0.0,0.0
142073,neither,0.0,0.0,0.0
142074,neither,0.0,0.0,0.0
142075,neither,0.0,0.0,0.0
142076,neither,0.0,0.0,0.0
142077,neither,0.0,0.0,0.0
142078,neither,0.0,0.0,0.0
142079,neither,0.0,0.0,0.0
142080,neither,0.0,0.0,0.0
142081,worldcover_only,0.046511627906976744,0.0,0.046511627906976744
142082,worldcover_only,0.024096385542168676,0.0,0.024096385542168676
142083,worldcover_only,0.8367346938775511,0.0,0.8367346938775511
142084,worldcover_only,0.024096385542168676,0.0,0.024096385542168676
142085,neither,0.0,0.0,0.0
142086,worldcover_only,0.009523809523809525,0.0,0.009523809523809525
142087,neither,0.0,0.0,0.0
142088,neither,0.0,0.0,0.0
142089,worldcover_only,0.37948717948717947,0.0,0.37948717948717947
