  48 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 683758608270170004 413 2 216521135-9-9-9
  49 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 683758608270170004 413 3 513511141 6 9 6
  50 01 0 1 68 4 4 68-9 3 7 3 0-9 1 1 6 6 6 6 6 6 6 6 6 6 6 6 1 1 8-9 246221367517216540341004 413 4 516521155-9-9-9
  51 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 580899351688921004 413 2 367521157-9-9-9
  52 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 290449675844460504 413 1 364816156-9-9-9
  53 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 871349027533381004 413 5 764221181 6 216
  54 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 290449675844460504 413 1 267836135-9-9-9
  55 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 683758608270170004 413 4 415021181 6 4 1
  56 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 290449675844460504 413 19868036137-9-9-9
  57 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 683758608270170004 413 5 513621171 6 915
  58 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 290449675844460504 413 1 264116153-9-9-9
  59 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 683758608270170004 413 3 513321191 6 411
  60 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 871349027533381004 413 3 364416142 616 1
  61 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91025637912405256004 413 4 211716144-9-9-9
  62 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91161798703377842004 413 4 364421391 615 9
  63 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 290449675844460504 413 19867336185-9-9-9
  64 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 871349027533381004 413 3 565821146-9-9-9
  65 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 683758608270170004 413 2 316421135-9-9-9
  66 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91025637912405256004 413 4 414621151 7 417
  67 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 580899351688921004 413 2 165031143-9-9-9
  68 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 341879304135085404 413 1 114316133-9-9-9
  69 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 290449675844460504 413 1 266836145-9-9-9
  70 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -91367517216540341004 413 4 114121243-9-9-9
  71 00 0-9 -9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9    -9 683758608270170004 413 2 217436125-9-9-9
  72 10 0 1 68 4 4 68-918 1 115 2 1 1 6 6 6 6 6 6 6 6 6 6 6 6 6 6 9-9  94161025637912405256004 413 4 314721151 4 4 7
