  20 22101 5095 55 6 6 1 1 31 68 4 41 5095 68 4 41315668 4 41410 55 3-9 2-9-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-91161798703377842004 443 4 266321137-9-9-9
  20 32101   93 30 1 1 1 9 11 68 4 41   93 68 4 41930668 4 420 0 30 1-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-91161798703377842004 443 4 266321137-9-9-9
  20 42101   93 15 1 1 1 1 11 68 4 41   93 68 4 42030668 4 42045 15 1-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-91161798703377842004 443 4 266321137-9-9-9
  21 12101  186 10 1 1 1 2 21 68 4 41  186 68 4 4 850668 4 4 9 0 10 2-9 1 1-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 683758608270170004 443 2 215616161 6 5 7
  21 22101  191 10 1 1 1 1 21 68 4 41  191 68 4 414 0668 4 41410 10 2-9 1 3-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 683758608270170004 443 2 215616161 6 5 7
  21 32101  191 10 1 1 1 2 21 68 4 41  191 68 4 416 0668 4 41610 10 2-9 1 1-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 683758608270170004 443 2 215616161 6 5 7
  21 42101  191 10 1 1 1 1 21 68 4 41  191 68 4 420 0668 4 42010 10 2-9 1 3-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 683758608270170004 443 2 215616161 6 5 7
  22 14101   82 30 1 1 1 5 11 68 4 41   82 68 4 410 0668 4 41030 30 1-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-91452248379222302004 443 8 263616133-9-9-9
  22 24101  108 30 1 1 1 1 11 68 4 41  108 68 4 41130668 4 412 0 30 1-9-9-9-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-91452248379222302004 443 8 263616133-9-9-9
  23 11101 5100 45 6 6 1 7 31 68 4 41 5100 68 4 416 0668 4 41645 45 3-9 2-9-9   -9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9  -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9 -9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-9-91025637912405256004 443 39715621135-9-9-9
